id,code_insee,mjo,annee_semaine
VEL016,59355.0,237.0,2014_22
VEL017,59508.0,87.0,2014_22
VEL018,59512.0,80.0,2014_22
VEL019,59512.0,113.0,2014_22
VEL021,59560.0,119.0,2014_22
VEL022,59599.0,75.0,2014_22
VEL023,59599.0,104.0,2014_22
VEL024,59009.0,36.0,2014_22
VEL027,59636.0,35.0,2014_22
VEL028,59350.0,694.0,2014_22
VEL039,59410.0,206.0,2014_22
VEL001,59017.0,88.0,2014_23
VEL002,59090.0,80.0,2014_23
VEL003,59128.0,46.0,2014_23
VEL004,59152.0,220.0,2014_23
VEL005,59163.0,202.0,2014_23
VEL006,59256.0,61.0,2014_23
VEL007,59286.0,142.0,2014_23
VEL008,59303.0,39.0,2014_23
VEL012,59350.0,1196.0,2014_23
VEL014,59350.0,671.0,2014_23
VEL016,59355.0,248.0,2014_23
VEL017,59508.0,88.0,2014_23
VEL018,59512.0,93.0,2014_23
VEL019,59512.0,101.0,2014_23
VEL021,59560.0,117.0,2014_23
VEL022,59599.0,84.0,2014_23
VEL023,59599.0,123.0,2014_23
VEL024,59009.0,33.0,2014_23
VEL027,59636.0,38.0,2014_23
VEL028,59350.0,679.0,2014_23
VEL039,59410.0,223.0,2014_23
VEL001,59017.0,103.0,2014_24
VEL002,59090.0,135.0,2014_24
VEL003,59128.0,85.0,2014_24
VEL004,59152.0,237.0,2014_24
VEL005,59163.0,323.0,2014_24
VEL006,59256.0,104.0,2014_24
VEL007,59286.0,185.0,2014_24
VEL008,59303.0,50.0,2014_24
VEL012,59350.0,1207.0,2014_24
VEL014,59350.0,932.0,2014_24
VEL016,59355.0,328.0,2014_24
VEL017,59508.0,124.0,2014_24
VEL018,59512.0,106.0,2014_24
VEL019,59512.0,121.0,2014_24
VEL021,59560.0,165.0,2014_24
VEL022,59599.0,92.0,2014_24
VEL023,59599.0,136.0,2014_24
VEL024,59009.0,55.0,2014_24
VEL027,59636.0,82.0,2014_24
VEL028,59350.0,697.0,2014_24
VEL039,59410.0,270.0,2014_24
VEL001,59017.0,105.0,2014_25
VEL002,59090.0,109.0,2014_25
VEL003,59128.0,69.0,2014_25
VEL004,59152.0,222.0,2014_25
VEL005,59163.0,301.0,2014_25
VEL006,59256.0,91.0,2014_25
VEL007,59286.0,192.0,2014_25
VEL008,59303.0,43.0,2014_25
VEL012,59350.0,1289.0,2014_25
VEL014,59350.0,904.0,2014_25
VEL016,59355.0,318.0,2014_25
VEL017,59508.0,117.0,2014_25
VEL018,59512.0,134.0,2014_25
VEL019,59512.0,119.0,2014_25
VEL021,59560.0,168.0,2014_25
VEL022,59599.0,99.0,2014_25
VEL023,59599.0,144.0,2014_25
